Method,System,Main diag. iter. count,Preconditioning call count,Diag. iter. time mean (s),Diag. iter. time std (s),Preconditioning time mean (s),Preconditioning time std (s)
NP,$(H_2O)_{128}$,171,171,1.425454,0.004212,0.947607,0.001103
Damped NP,$(H_2O)_{128}$,18,18,1.462104,0.002260,0.987997,0.001247
ISI,$(H_2O)_{128}$,31,31,1.640899,0.044258,1.160750,0.043176
NP,$C_{60}$ tetramer,78,78,1.012611,0.005931,0.724695,0.005149
Damped NP,$C_{60}$ tetramer,16,16,1.068684,0.005302,0.784119,0.004551
ISI,$C_{60}$ tetramer,29,29,1.199676,0.033473,0.907637,0.032255
NP,$MAPbI_3$,14,14,1.689465,0.004766,1.185835,0.001672
Damped NP,$MAPbI_3$,15,15,1.746266,0.003327,1.246662,0.001574
ISI,$MAPbI_3$,14,14,1.862736,0.191155,1.290710,0.166203
NP,Vitamin $B_{12}$,999,999,0.880211,0.001558,0.658680,0.001132
Damped NP,Vitamin $B_{12}$,21,21,0.883984,0.005093,0.665310,0.004871
ISI,Vitamin $B_{12}$,36,36,1.036017,0.027558,0.811960,0.026158
