System,Method,Region,n,Diag mean (s),Diag std (s),Precond mean (s),Precond std (s)
(H2O)128,Damped-NP,steady,18,1.462104,0.002325,0.987997,0.001283
(H2O)128,ISI,steady,31,1.640899,0.044990,1.160750,0.043889
C60 tetramer,Damped-NP,steady,16,1.068684,0.005476,0.784119,0.004701
C60 tetramer,ISI,steady,29,1.199676,0.034066,0.907637,0.032826
MAPbI3,Damped-NP,steady,15,1.746266,0.003444,1.246662,0.001629
MAPbI3,ISI,steady,14,1.862736,0.198371,1.290710,0.172478
Vitamin B12,Damped-NP,steady,21,0.883984,0.005219,0.665310,0.004991
Vitamin B12,ISI,steady,36,1.036017,0.027949,0.811960,0.026529
(H2O)128,Damped-NP,all,20,1.329436,0.408530,0.987997,0.001283
(H2O)128,ISI,all,33,1.549892,0.366536,1.160750,0.043889
C60 tetramer,Damped-NP,all,18,0.960103,0.316214,0.784119,0.004701
C60 tetramer,ISI,all,31,1.128367,0.278069,0.907637,0.032826
MAPbI3,Damped-NP,all,17,1.558468,0.530523,1.246662,0.001629
MAPbI3,ISI,all,16,1.647561,0.616812,1.290710,0.172478
Vitamin B12,Damped-NP,all,23,0.813246,0.234454,0.665310,0.004991
Vitamin B12,ISI,all,38,0.985378,0.219432,0.811960,0.026529
