Method,System,Diag. iter. index,Diag. iter. time (s),Preconditioning time (s)
NP,$(H_2O)_{128}$,1,0.173892,
NP,$(H_2O)_{128}$,2,1.416209,0.945781
NP,$(H_2O)_{128}$,3,1.422316,0.945733
NP,$(H_2O)_{128}$,4,1.424901,0.946023
NP,$(H_2O)_{128}$,5,1.425296,0.946082
NP,$(H_2O)_{128}$,6,1.426398,0.94518
NP,$(H_2O)_{128}$,7,1.470669,0.94644
NP,$(H_2O)_{128}$,8,1.424117,0.946594
NP,$(H_2O)_{128}$,9,1.425795,0.947154
NP,$(H_2O)_{128}$,10,1.420174,0.948057
NP,$(H_2O)_{128}$,11,1.42719,0.947313
NP,$(H_2O)_{128}$,12,1.426708,0.947809
NP,$(H_2O)_{128}$,13,1.425831,0.947553
NP,$(H_2O)_{128}$,14,1.426667,0.9482
NP,$(H_2O)_{128}$,15,1.429276,0.947424
NP,$(H_2O)_{128}$,16,1.421472,0.947342
NP,$(H_2O)_{128}$,17,1.426414,0.946813
NP,$(H_2O)_{128}$,18,1.424374,0.945755
NP,$(H_2O)_{128}$,19,1.425968,0.947058
NP,$(H_2O)_{128}$,20,1.423892,0.945641
NP,$(H_2O)_{128}$,21,1.418943,0.946016
NP,$(H_2O)_{128}$,22,1.421001,0.946581
NP,$(H_2O)_{128}$,23,1.42678,0.947854
NP,$(H_2O)_{128}$,24,1.426721,0.945456
NP,$(H_2O)_{128}$,25,1.424562,0.94576
NP,$(H_2O)_{128}$,26,1.424399,0.947495
NP,$(H_2O)_{128}$,27,1.427073,0.94887
NP,$(H_2O)_{128}$,28,1.424786,0.94738
NP,$(H_2O)_{128}$,29,1.424917,0.947236
NP,$(H_2O)_{128}$,30,1.420083,0.946484
NP,$(H_2O)_{128}$,31,1.423517,0.948518
NP,$(H_2O)_{128}$,32,1.426279,0.947907
NP,$(H_2O)_{128}$,33,1.421441,0.945792
NP,$(H_2O)_{128}$,34,1.428224,0.94736
NP,$(H_2O)_{128}$,35,1.425596,0.949099
NP,$(H_2O)_{128}$,36,1.426143,0.948467
NP,$(H_2O)_{128}$,37,1.425473,0.946789
NP,$(H_2O)_{128}$,38,1.422653,0.947321
NP,$(H_2O)_{128}$,39,1.421087,0.946965
NP,$(H_2O)_{128}$,40,1.427009,0.949657
NP,$(H_2O)_{128}$,41,1.424656,0.94679
NP,$(H_2O)_{128}$,42,1.424297,0.947188
NP,$(H_2O)_{128}$,43,1.424337,0.948203
NP,$(H_2O)_{128}$,44,1.426666,0.948819
NP,$(H_2O)_{128}$,45,1.42504,0.947581
NP,$(H_2O)_{128}$,46,1.424744,0.948202
NP,$(H_2O)_{128}$,47,1.427041,0.949511
NP,$(H_2O)_{128}$,48,1.426898,0.948764
NP,$(H_2O)_{128}$,49,1.425727,0.946781
NP,$(H_2O)_{128}$,50,1.430534,0.948114
NP,$(H_2O)_{128}$,51,1.42863,0.94784
NP,$(H_2O)_{128}$,52,1.425366,0.948173
NP,$(H_2O)_{128}$,53,1.425765,0.947764
NP,$(H_2O)_{128}$,54,1.427283,0.947971
NP,$(H_2O)_{128}$,55,1.421185,0.947298
NP,$(H_2O)_{128}$,56,1.42612,0.948259
NP,$(H_2O)_{128}$,57,1.428342,0.948141
NP,$(H_2O)_{128}$,58,1.425081,0.94773
NP,$(H_2O)_{128}$,59,1.42616,0.948048
NP,$(H_2O)_{128}$,60,1.424978,0.948419
NP,$(H_2O)_{128}$,61,1.424617,0.946819
NP,$(H_2O)_{128}$,62,1.425132,0.948971
NP,$(H_2O)_{128}$,63,1.424538,0.948256
NP,$(H_2O)_{128}$,64,1.422693,0.947979
NP,$(H_2O)_{128}$,65,1.425942,0.94782
NP,$(H_2O)_{128}$,66,1.425189,0.946908
NP,$(H_2O)_{128}$,67,1.425932,0.947965
NP,$(H_2O)_{128}$,68,1.424821,0.949531
NP,$(H_2O)_{128}$,69,1.423611,0.948189
NP,$(H_2O)_{128}$,70,1.428031,0.948961
NP,$(H_2O)_{128}$,71,1.425877,0.947716
NP,$(H_2O)_{128}$,72,1.424946,0.947753
NP,$(H_2O)_{128}$,73,1.429464,0.949264
NP,$(H_2O)_{128}$,74,1.425484,0.946537
NP,$(H_2O)_{128}$,75,1.42851,0.948468
NP,$(H_2O)_{128}$,76,1.426752,0.947705
NP,$(H_2O)_{128}$,77,1.424353,0.948894
NP,$(H_2O)_{128}$,78,1.431064,0.951013
NP,$(H_2O)_{128}$,79,1.426212,0.949121
NP,$(H_2O)_{128}$,80,1.426883,0.948616
NP,$(H_2O)_{128}$,81,1.426953,0.94766
NP,$(H_2O)_{128}$,82,1.423777,0.94757
NP,$(H_2O)_{128}$,83,1.424861,0.948646
NP,$(H_2O)_{128}$,84,1.424714,0.948368
NP,$(H_2O)_{128}$,85,1.425327,0.947897
NP,$(H_2O)_{128}$,86,1.428214,0.948169
NP,$(H_2O)_{128}$,87,1.426848,0.948425
NP,$(H_2O)_{128}$,88,1.425261,0.947523
NP,$(H_2O)_{128}$,89,1.424859,0.947026
NP,$(H_2O)_{128}$,90,1.424951,0.949176
NP,$(H_2O)_{128}$,91,1.429504,0.949522
NP,$(H_2O)_{128}$,92,1.425766,0.947299
NP,$(H_2O)_{128}$,93,1.421887,0.946602
NP,$(H_2O)_{128}$,94,1.42847,0.950183
NP,$(H_2O)_{128}$,95,1.429146,0.948235
NP,$(H_2O)_{128}$,96,1.426165,0.947571
NP,$(H_2O)_{128}$,97,1.428177,0.949729
NP,$(H_2O)_{128}$,98,1.423137,0.946449
NP,$(H_2O)_{128}$,99,1.426193,0.948258
NP,$(H_2O)_{128}$,100,1.420756,0.945904
NP,$(H_2O)_{128}$,101,1.424989,0.948582
NP,$(H_2O)_{128}$,102,1.426998,0.948058
NP,$(H_2O)_{128}$,103,1.424896,0.948031
NP,$(H_2O)_{128}$,104,1.421159,0.947902
NP,$(H_2O)_{128}$,105,1.426615,0.948591
NP,$(H_2O)_{128}$,106,1.427391,0.947382
NP,$(H_2O)_{128}$,107,1.426674,0.947596
NP,$(H_2O)_{128}$,108,1.423665,0.947803
NP,$(H_2O)_{128}$,109,1.421867,0.949019
NP,$(H_2O)_{128}$,110,1.426804,0.947145
NP,$(H_2O)_{128}$,111,1.427005,0.949671
NP,$(H_2O)_{128}$,112,1.4273,0.948011
NP,$(H_2O)_{128}$,113,1.421354,0.946743
NP,$(H_2O)_{128}$,114,1.425834,0.94593
NP,$(H_2O)_{128}$,115,1.423307,0.948742
NP,$(H_2O)_{128}$,116,1.424321,0.946807
NP,$(H_2O)_{128}$,117,1.4252,0.947659
NP,$(H_2O)_{128}$,118,1.426051,0.947811
NP,$(H_2O)_{128}$,119,1.426294,0.947677
NP,$(H_2O)_{128}$,120,1.425091,0.94821
NP,$(H_2O)_{128}$,121,1.426646,0.947532
NP,$(H_2O)_{128}$,122,1.429765,0.947444
NP,$(H_2O)_{128}$,123,1.426166,0.94821
NP,$(H_2O)_{128}$,124,1.426856,0.948471
NP,$(H_2O)_{128}$,125,1.425287,0.947432
NP,$(H_2O)_{128}$,126,1.422839,0.949291
NP,$(H_2O)_{128}$,127,1.426504,0.947881
NP,$(H_2O)_{128}$,128,1.42737,0.947485
NP,$(H_2O)_{128}$,129,1.424578,0.947478
NP,$(H_2O)_{128}$,130,1.425698,0.949405
NP,$(H_2O)_{128}$,131,1.42434,0.947153
NP,$(H_2O)_{128}$,132,1.427705,0.947737
NP,$(H_2O)_{128}$,133,1.421473,0.947226
NP,$(H_2O)_{128}$,134,1.423028,0.947037
NP,$(H_2O)_{128}$,135,1.428491,0.947524
NP,$(H_2O)_{128}$,136,1.425988,0.947342
NP,$(H_2O)_{128}$,137,1.419707,0.944869
NP,$(H_2O)_{128}$,138,1.425725,0.947163
NP,$(H_2O)_{128}$,139,1.425322,0.947401
NP,$(H_2O)_{128}$,140,1.425479,0.94802
NP,$(H_2O)_{128}$,141,1.425026,0.946694
NP,$(H_2O)_{128}$,142,1.421425,0.945328
NP,$(H_2O)_{128}$,143,1.421088,0.94732
NP,$(H_2O)_{128}$,144,1.425256,0.949029
NP,$(H_2O)_{128}$,145,1.426352,0.947849
NP,$(H_2O)_{128}$,146,1.422154,0.946533
NP,$(H_2O)_{128}$,147,1.4245,0.947443
NP,$(H_2O)_{128}$,148,1.425154,0.947423
NP,$(H_2O)_{128}$,149,1.423191,0.946864
NP,$(H_2O)_{128}$,150,1.424203,0.94566
NP,$(H_2O)_{128}$,151,1.428115,0.948169
NP,$(H_2O)_{128}$,152,1.428626,0.949278
NP,$(H_2O)_{128}$,153,1.426211,0.947083
NP,$(H_2O)_{128}$,154,1.422611,0.946365
NP,$(H_2O)_{128}$,155,1.426318,0.947347
NP,$(H_2O)_{128}$,156,1.425377,0.947562
NP,$(H_2O)_{128}$,157,1.426443,0.948026
NP,$(H_2O)_{128}$,158,1.42447,0.945604
NP,$(H_2O)_{128}$,159,1.417657,0.947688
NP,$(H_2O)_{128}$,160,1.431268,0.949989
NP,$(H_2O)_{128}$,161,1.425339,0.946746
NP,$(H_2O)_{128}$,162,1.424517,0.947423
NP,$(H_2O)_{128}$,163,1.424294,0.946544
NP,$(H_2O)_{128}$,164,1.425874,0.948784
