system,band,eps,N,kappa_lower,kappa_upper,sigma_min_lo,sigma_max_hi,conclusive
B12,249,-0.33941,0,19.732,inf,0.0,0.95163,False
B12,249,-0.33941,1,14.417,inf,0.0,1.14602,False
B12,249,-0.33941,2,11.269,19.85,0.05785,1.14837,True
B12,249,-0.33941,3,9.144,13.282,0.09197,1.22159,True
B12,249,-0.33941,4,7.806,9.561,0.13515,1.29217,True
B12,249,-0.33941,5,6.75,7.58,0.17826,1.35111,True
B12,249,-0.33941,6,6.593,7.309,0.21455,1.56805,True
B12,249,-0.33941,7,7.548,8.786,0.23785,2.08973,True
B12,249,-0.33941,8,9.278,11.734,0.25302,2.96898,True
B12,249,-0.33941,9,11.837,15.028,0.29323,4.40687,True
B12,249,-0.33941,10,15.284,27.719,0.2424,6.71907,True
B12,0,-1.1601,0,21.399,inf,0.0,1.09742,False
B12,0,-1.1601,1,9.426,11.718,0.10042,1.17672,True
B12,0,-1.1601,2,5.89,7.192,0.15234,1.09568,True
B12,0,-1.1601,3,4.794,5.369,0.20892,1.12166,True
B12,0,-1.1601,4,3.938,4.072,0.27681,1.12718,True
B12,0,-1.1601,5,3.332,3.38,0.33254,1.12383,True
B12,0,-1.1601,6,3.001,3.034,0.38069,1.15494,True
B12,0,-1.1601,7,2.587,2.607,0.42577,1.1101,True
B12,0,-1.1601,8,2.553,2.57,0.46709,1.20055,True
B12,0,-1.1601,9,2.155,2.168,0.5053,1.0954,True
B12,0,-1.1601,10,2.316,2.331,0.54044,1.25973,True
B12,25,-1.0036,0,21.057,inf,0.0,1.06794,False
B12,25,-1.0036,1,9.437,11.77,0.09937,1.16958,True
B12,25,-1.0036,2,6.007,7.523,0.14641,1.1014,True
B12,25,-1.0036,3,4.912,5.479,0.207,1.13423,True
B12,25,-1.0036,4,4.048,4.173,0.2746,1.146,True
B12,25,-1.0036,5,3.432,3.474,0.32978,1.14552,True
B12,25,-1.0036,6,2.992,3.028,0.37634,1.13971,True
B12,25,-1.0036,7,2.668,2.705,0.41842,1.13177,True
B12,25,-1.0036,8,2.421,2.445,0.45937,1.12321,True
B12,25,-1.0036,9,2.225,2.238,0.49817,1.11473,True
B12,25,-1.0036,10,2.068,2.073,0.53387,1.10668,True
B12,50,-0.83113,0,20.693,inf,0.0,1.03641,False
B12,50,-0.83113,1,9.456,11.967,0.09699,1.16067,True
B12,50,-0.83113,2,6.512,9.289,0.1194,1.10901,True
B12,50,-0.83113,3,5.344,5.993,0.19176,1.14932,True
B12,50,-0.83113,4,4.405,4.593,0.25498,1.17115,True
B12,50,-0.83113,5,3.725,3.787,0.31051,1.17601,True
B12,50,-0.83113,6,3.23,3.25,0.36072,1.17229,True
B12,50,-0.83113,7,2.858,2.866,0.40628,1.16448,True
B12,50,-0.83113,8,2.574,2.578,0.44826,1.15557,True
B12,50,-0.83113,9,2.432,2.434,0.48703,1.18558,True
B12,50,-0.83113,10,2.379,2.381,0.52289,1.24518,True
B12,75,-0.69331,0,20.409,inf,0.0,1.01191,False
B12,75,-0.69331,1,9.522,12.88,0.08954,1.15319,True
B12,75,-0.69331,2,7.319,10.191,0.10964,1.11735,True
B12,75,-0.69331,3,5.899,6.708,0.17339,1.16312,True
B12,75,-0.69331,4,4.853,4.994,0.23936,1.19543,True
B12,75,-0.69331,5,4.09,4.126,0.29257,1.20724,True
B12,75,-0.69331,6,3.53,3.541,0.341,1.20753,True
B12,75,-0.69331,7,3.143,3.148,0.38629,1.21618,True
B12,75,-0.69331,8,3.081,3.085,0.42875,1.32283,True
B12,75,-0.69331,9,3.15,3.157,0.46846,1.47916,True
B12,75,-0.69331,10,3.339,3.356,0.50479,1.69416,True
B12,100,-0.62687,0,20.275,inf,0.0,1.00032,False
B12,100,-0.62687,1,9.63,14.769,0.07783,1.14949,True
B12,100,-0.62687,2,7.73,10.61,0.10575,1.12195,True
B12,100,-0.62687,3,6.256,7.178,0.16309,1.17074,True
B12,100,-0.62687,4,5.149,5.322,0.22717,1.20893,True
B12,100,-0.62687,5,4.339,4.388,0.27926,1.22527,True
B12,100,-0.62687,6,3.742,3.754,0.32747,1.22939,True
B12,100,-0.62687,7,3.488,3.495,0.37214,1.30081,True
B12,100,-0.62687,8,3.55,3.564,0.4139,1.47513,True
B12,100,-0.62687,9,3.788,3.819,0.45254,1.72818,True
B12,100,-0.62687,10,4.215,4.309,0.48421,2.08626,True
B12,125,-0.57985,0,20.182,inf,0.0,0.99221,False
B12,125,-0.57985,1,9.798,19.213,0.05969,1.14692,True
B12,125,-0.57985,2,8.052,11.264,0.09992,1.12548,True
B12,125,-0.57985,3,6.561,7.574,0.15537,1.17672,True
B12,125,-0.57985,4,5.407,5.644,0.21605,1.21939,True
B12,125,-0.57985,5,4.559,4.618,0.2684,1.23957,True
B12,125,-0.57985,6,3.939,3.955,0.31588,1.24939,True
B12,125,-0.57985,7,3.819,3.835,0.3597,1.37935,True
B12,125,-0.57985,8,4.003,4.04,0.39984,1.61516,True
B12,125,-0.57985,9,4.417,4.519,0.43431,1.96273,True
B12,125,-0.57985,10,5.084,5.404,0.45633,2.46585,True
B12,150,-0.54069,0,20.106,inf,0.0,0.98551,False
B12,150,-0.54069,1,10.05,40.73,0.02814,1.14628,True
B12,150,-0.54069,2,8.358,12.138,0.09299,1.12862,True
B12,150,-0.54069,3,6.85,8.009,0.14761,1.18222,True
B12,150,-0.54069,4,5.662,5.979,0.20551,1.22879,True
B12,150,-0.54069,5,4.779,4.855,0.25801,1.25267,True
B12,150,-0.54069,6,4.157,4.186,0.30446,1.27452,True
B12,150,-0.54069,7,4.166,4.202,0.34681,1.45731,True
B12,150,-0.54069,8,4.481,4.572,0.38411,1.75606,True
B12,150,-0.54069,9,5.083,5.312,0.41485,2.20361,True
B12,150,-0.54069,10,5.93,7.1,0.40334,2.86374,True
B12,175,-0.51274,0,20.052,inf,0.0,0.98076,False
B12,175,-0.51274,1,10.324,inf,0.0,1.14417,False
B12,175,-0.51274,2,8.607,12.963,0.08725,1.13098,True
B12,175,-0.51274,3,7.079,8.422,0.14089,1.18649,True
B12,175,-0.51274,4,5.87,6.262,0.19737,1.23594,True
B12,175,-0.51274,5,4.96,5.06,0.24956,1.26281,True
B12,175,-0.51274,6,4.362,4.411,0.29498,1.30112,True
B12,175,-0.51274,7,4.46,4.528,0.33579,1.52057,True
B12,175,-0.51274,8,4.889,5.08,0.36848,1.87197,True
