system,state,N,norm_undamped,norm_damped,undamped_contracts,damped_contracts
MAPbI3,lowest,0,0.8722,0.9291,True,True
MAPbI3,lowest,1,0.7394,0.8032,True,True
MAPbI3,lowest,2,0.6155,0.6762,True,True
MAPbI3,lowest,3,0.5066,0.5606,True,True
MAPbI3,lowest,4,0.4132,0.4596,True,True
MAPbI3,lowest,5,0.3354,0.3741,True,True
MAPbI3,lowest,6,0.2715,0.3033,True,True
MAPbI3,lowest,7,0.2194,0.2454,True,True
MAPbI3,lowest,8,0.1773,0.1983,True,True
MAPbI3,lowest,9,0.1435,0.1603,True,True
MAPbI3,lowest,10,0.1163,0.1298,True,True
MAPbI3,middle,0,0.9587,0.972,True,True
MAPbI3,middle,1,0.8959,0.9245,True,True
MAPbI3,middle,2,0.8223,0.8571,True,True
MAPbI3,middle,3,0.7436,0.7824,True,True
MAPbI3,middle,4,0.6653,0.7034,True,True
MAPbI3,middle,5,0.5848,0.6238,True,True
MAPbI3,middle,6,0.5164,0.5501,True,True
MAPbI3,middle,7,0.4509,0.4835,True,True
MAPbI3,middle,8,0.3896,0.4197,True,True
MAPbI3,middle,9,0.3362,0.3628,True,True
MAPbI3,middle,10,0.2897,0.3126,True,True
MAPbI3,homo,0,1.0201,1.004,False,False
MAPbI3,homo,1,1.0177,1.0167,False,False
MAPbI3,homo,2,1.0014,1.0086,False,False
MAPbI3,homo,3,0.9705,0.9849,True,True
MAPbI3,homo,4,0.9304,0.9503,True,True
MAPbI3,homo,5,0.885,0.9081,True,True
MAPbI3,homo,6,0.8376,0.8608,True,True
MAPbI3,homo,7,0.7871,0.8118,True,True
MAPbI3,homo,8,0.7378,0.7622,True,True
MAPbI3,homo,9,0.6918,0.7141,True,True
MAPbI3,homo,10,0.8312,0.7187,True,True
C60_4,lowest,0,1.2585,0.9931,False,True
C60_4,lowest,1,1.2612,0.9864,False,True
C60_4,lowest,2,1.4086,0.9382,False,True
C60_4,lowest,3,1.4835,0.8687,False,True
C60_4,lowest,4,1.6171,0.7943,False,True
C60_4,lowest,5,1.7218,0.7223,False,True
C60_4,lowest,6,1.8619,0.6546,False,True
C60_4,lowest,7,1.9873,0.5921,False,True
C60_4,lowest,8,2.1422,0.535,False,True
C60_4,lowest,9,2.2951,0.4843,False,True
C60_4,lowest,10,2.4668,0.4391,False,True
C60_4,middle,0,1.1294,1.0217,False,False
C60_4,middle,1,1.0872,1.0711,False,False
C60_4,middle,2,1.081,1.082,False,False
C60_4,middle,3,1.0519,1.0653,False,False
C60_4,middle,4,1.0068,1.0287,False,False
C60_4,middle,5,0.9528,0.9793,True,True
C60_4,middle,6,0.894,0.9231,True,True
C60_4,middle,7,0.8334,0.8635,True,True
C60_4,middle,8,0.7732,0.8031,True,True
C60_4,middle,9,0.7147,0.7438,True,True
C60_4,middle,10,0.6608,0.6869,True,True
C60_4,homo,0,1.1105,1.0481,False,False
C60_4,homo,1,1.1917,1.1449,False,False
C60_4,homo,2,1.2485,1.2172,False,False
C60_4,homo,3,1.28,1.2623,False,False
C60_4,homo,4,1.2908,1.2843,False,False
C60_4,homo,5,1.2848,1.2871,False,False
C60_4,homo,6,1.2657,1.2747,False,False
C60_4,homo,7,1.2371,1.2509,False,False
C60_4,homo,8,1.2475,1.2201,False,False
C60_4,homo,9,2.0258,1.6346,False,False
C60_4,homo,10,3.2517,2.638,False,False
water_cluster_128,lowest,0,1.2787,0.9819,False,True
water_cluster_128,lowest,1,1.3241,0.9451,False,True
water_cluster_128,lowest,2,1.5117,0.8933,False,True
water_cluster_128,lowest,3,1.6396,0.8379,False,True
water_cluster_128,lowest,4,1.8291,0.7841,False,True
water_cluster_128,lowest,5,2.0004,0.7333,False,True
water_cluster_128,lowest,6,2.2183,0.6855,False,True
water_cluster_128,lowest,7,2.4311,0.6403,False,True
water_cluster_128,lowest,8,2.6854,0.5978,False,True
water_cluster_128,lowest,9,2.9511,0.5582,False,True
water_cluster_128,lowest,10,3.2603,0.521,False,True
water_cluster_128,middle,0,1.1081,1.0052,False,False
water_cluster_128,middle,1,1.0092,1.0111,False,False
water_cluster_128,middle,2,0.9813,0.994,True,True
water_cluster_128,middle,3,0.9319,0.9548,True,True
water_cluster_128,middle,4,0.8752,0.9025,True,True
water_cluster_128,middle,5,0.8163,0.8446,True,True
water_cluster_128,middle,6,0.7701,0.7893,True,True
water_cluster_128,middle,7,0.8523,0.7823,True,True
water_cluster_128,middle,8,1.1987,1.0123,False,False
water_cluster_128,middle,9,1.7565,1.4736,False,False
water_cluster_128,middle,10,2.5628,2.1578,False,False
water_cluster_128,homo,0,1.0732,1.0163,False,False
water_cluster_128,homo,1,1.0556,1.0469,False,False
water_cluster_128,homo,2,1.0454,1.0494,False,False
water_cluster_128,homo,3,1.0082,1.0242,False,False
water_cluster_128,homo,4,0.9596,0.982,True,True
water_cluster_128,homo,5,0.9138,0.9327,True,True
water_cluster_128,homo,6,1.0192,0.9235,False,True
water_cluster_128,homo,7,1.5757,1.2768,False,False
water_cluster_128,homo,8,2.5357,2.0503,False,False
water_cluster_128,homo,9,4.0312,3.281,False,False
water_cluster_128,homo,10,6.3322,5.1802,False,False
B12,lowest,0,1.2778,1.004,False,False
B12,lowest,1,1.3691,1.0021,False,False
B12,lowest,2,1.5665,0.9582,False,True
B12,lowest,3,1.7854,0.9013,False,True
B12,lowest,4,2.0325,0.8411,False,True
B12,lowest,5,2.313,0.7826,False,True
B12,lowest,6,2.6318,0.7275,False,True
B12,lowest,7,2.9945,0.6761,False,True
B12,lowest,8,3.407,0.6286,False,True
B12,lowest,9,3.8765,0.5845,False,True
B12,lowest,10,4.4106,0.5437,False,True
B12,middle,0,1.1158,1.0283,False,False
B12,middle,1,1.1054,1.084,False,False
B12,middle,2,1.1048,1.1027,False,False
B12,middle,3,1.0796,1.0909,False,False
B12,middle,4,1.0386,1.0583,False,False
B12,middle,5,0.9882,1.0129,True,False
B12,middle,6,0.9331,0.9602,True,True
B12,middle,7,0.8769,0.9045,True,True
B12,middle,8,0.9828,0.8623,True,True
B12,middle,9,1.42,1.1954,False,False
B12,middle,10,2.0565,1.7359,False,False
B12,homo,0,1.1177,1.0459,False,False
B12,homo,1,1.183,1.1407,False,False
B12,homo,2,1.2277,1.2026,False,False
B12,homo,3,1.2452,1.2348,False,False
B12,homo,4,1.2416,1.2423,False,False
B12,homo,5,1.2229,1.2312,False,False
B12,homo,6,1.2008,1.209,False,False
B12,homo,7,1.7438,1.3922,False,False
B12,homo,8,2.8943,2.3135,False,False
B12,homo,9,4.7251,3.8068,False,False
B12,homo,10,7.6135,6.1668,False,False
