system,state,n,norm_An,rho_bound,below_one
B12,homo,1,1.117059,1.117059,False
B12,homo,2,1.183734,1.087995,False
B12,homo,3,1.230467,1.071577,False
B12,homo,5,1.250597,1.045739,False
B12,homo,8,1.171477,1.01998,False
B12,homo,12,0.988034,0.998997,True
B12,homo,20,0.624141,0.976707,True
B12,lowest,1,1.278144,1.278144,False
B12,lowest,2,1.365645,1.168608,False
B12,lowest,3,1.562037,1.160283,False
B12,lowest,5,2.02183,1.151195,False
B12,lowest,8,2.96787,1.14566,False
B12,lowest,12,4.950453,1.142581,False
B12,lowest,20,13.77277,1.140121,False
C60_4,homo,1,1.109588,1.109588,False
C60_4,homo,2,1.190922,1.091294,False
C60_4,homo,3,1.248083,1.076667,False
C60_4,homo,5,1.291436,1.052482,False
C60_4,homo,8,1.23792,1.027038,False
C60_4,homo,12,1.066713,1.005396,False
C60_4,homo,20,0.687639,0.98145,True
C60_4,lowest,1,1.258712,1.258712,False
C60_4,lowest,2,1.261203,1.123033,False
C60_4,lowest,3,1.408507,1.12095,False
C60_4,lowest,5,1.616972,1.100881,False
C60_4,lowest,8,1.987412,1.089647,False
C60_4,lowest,12,2.642923,1.084361,False
C60_4,lowest,20,4.657439,1.079959,False
MAPbI3,homo,1,1.018407,1.018407,False
MAPbI3,homo,2,1.015844,1.007891,False
MAPbI3,homo,3,0.997524,0.999174,True
MAPbI3,homo,5,0.932643,0.98615,True
MAPbI3,homo,8,0.798047,0.972195,True
MAPbI3,homo,12,0.619129,0.960834,True
MAPbI3,homo,20,0.351848,0.949113,True
MAPbI3,lowest,1,0.872837,0.872837,True
MAPbI3,lowest,2,0.735865,0.857826,True
MAPbI3,lowest,3,0.608828,0.847549,True
MAPbI3,lowest,5,0.400544,0.832779,True
MAPbI3,lowest,8,0.203342,0.819461,True
MAPbI3,lowest,12,0.08154,0.811486,True
MAPbI3,lowest,20,0.014736,0.809878,True
water_cluster_128,homo,1,1.073475,1.073475,False
water_cluster_128,homo,2,1.062645,1.030847,False
water_cluster_128,homo,3,1.061368,1.020051,False
water_cluster_128,homo,5,1.011077,1.002206,False
water_cluster_128,homo,8,0.87152,0.982957,True
water_cluster_128,homo,12,0.664735,0.966542,True
water_cluster_128,homo,20,0.351119,0.949014,True
water_cluster_128,lowest,1,1.279392,1.279392,False
water_cluster_128,lowest,2,1.324464,1.150854,False
water_cluster_128,lowest,3,1.511744,1.147694,False
water_cluster_128,lowest,5,1.829122,1.128362,False
water_cluster_128,lowest,8,2.431078,1.117442,False
water_cluster_128,lowest,12,3.57926,1.112114,False
water_cluster_128,lowest,20,7.732622,1.107685,False
