system,davidson_iteration,state_rule,state_index,corrected_epsilon,residual_norm,rho_deflated,lambda_min_deflated,damping_factor,cg_status,cg_iters,n_subspace,X_orthonormality_error,krylov_dim,commit
B12,5,homo,249,-0.054457250698990683,0.30127605448214095,1.0836716518809089,-0.7362534378988193,0.13187328105059037,"negative_curvature(it=3, pAp=-1.793e+00)",3,300,7.105427357601002e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,10,homo,249,-0.29761221563434354,0.2134264275163192,0.9699338280861936,-0.8095871177292441,0.09520644113537796,converged,64,300,9.325873406851315e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,15,homo,249,-0.33938335027032585,0.018778780618689175,0.9237155759245476,-0.8223571733944466,0.08882141330277671,converged,47,300,9.547918011776346e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,5,lowest,0,-1.1609412960513052,0.17223269076639264,1.135902157954685,-1.135902157954685,0.06795107897734254,converged,49,300,7.105427357601002e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,10,lowest,0,-1.1600959346845308,0.0033059190998091324,1.1365142559556527,-1.1365142559556527,0.06825712797782635,converged,49,300,9.325873406851315e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,15,lowest,0,-1.1600956175642319,9.117859231083281e-05,1.136463676069177,-1.136463676069177,0.06823183803458854,converged,49,300,9.547918011776346e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,5,middle,125,-0.5731738832074912,0.40479784480548664,0.9717096260515468,-0.8948273669513656,0.05258631652431722,converged,72,300,7.105427357601002e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,10,middle,125,-0.5798370971468073,0.012356812364071304,0.9220981726365789,-0.8969437335485388,0.05152813322573058,converged,48,300,9.325873406851315e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,15,middle,125,-0.5798475305780332,0.0004577972475805712,0.9220825421042672,-0.89695410753445,0.05152294623277498,converged,46,300,9.547918011776346e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,5,slowest,218,-0.3462285153222473,0.5899923484914703,1.0027337724216057,-0.8243904777262488,0.08780476113687558,"negative_curvature(it=26, pAp=-1.093e-01)",26,300,7.105427357601002e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,10,slowest,248,-0.30514641131129056,0.21617286363106744,0.9683879083967187,-0.811883813887742,0.094058093056129,converged,64,300,9.325873406851315e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
B12,15,slowest,253,-0.22014192116552775,0.08072673535708368,0.9437782280359978,-0.7860655892172572,0.10696720539137139,converged,54,300,9.547918011776346e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,5,homo,479,-0.3190306539644982,0.4789436078410343,0.9584530482113252,-0.7977451535866829,0.10112742320665857,converged,61,576,4.884981308350689e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,10,homo,479,-0.359188927445111,0.009828429036211943,0.9270761204780162,-0.8112967306157985,0.09435163469210073,converged,47,576,8.523509307996153e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,15,homo,479,-0.3591888683884956,0.0003251494351344592,0.9226564515841594,-0.8112967443531005,0.09435162782344975,converged,45,576,9.972982727190759e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,5,lowest,0,-1.0823730319799914,0.0760173991382476,1.0733647104310577,-1.0733647104310577,0.03668235521552887,converged,47,576,4.884981308350689e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
