system,lambda_dom,N,kappa_NP,kappa_DNP,NP_definite
B12,-1.1364635411415356,0,29.653349859722127,29.653349859722084,True
B12,-1.1364635411415356,1,inf,10.665128226196627,False
B12,-1.1364635411415356,2,12.280956314553599,6.403555117872176,True
B12,-1.1364635411415356,3,inf,4.582336112954109,False
B12,-1.1364635411415356,5,inf,3.0692205117316638,False
B12,-1.1364635411415356,8,8.497688221603324,2.5315788404832045,True
B12,-1.1364635411415356,11,inf,1.7620728598149218,False
water_cluster_128,-1.100966605900922,0,26.893475023266905,26.893475023266905,True
water_cluster_128,-1.100966605900922,1,inf,9.857016389183858,False
water_cluster_128,-1.100966605900922,2,10.78131516612656,5.7882099829624325,True
water_cluster_128,-1.100966605900922,3,inf,4.259274897329643,False
water_cluster_128,-1.100966605900922,5,inf,2.8691176211995733,False
water_cluster_128,-1.100966605900922,8,6.504937116980704,2.223669458261356,True
water_cluster_128,-1.100966605900922,11,inf,1.6730870565970952,False
C60_4,-1.073280244065032,0,26.600666713054583,26.600666713054583,True
C60_4,-1.073280244065032,1,inf,9.87837503873231,False
C60_4,-1.073280244065032,2,10.350002451091777,5.6970046020349185,True
C60_4,-1.073280244065032,3,inf,4.268489601082604,False
C60_4,-1.073280244065032,5,inf,2.874735897602958,False
C60_4,-1.073280244065032,8,5.576177368688484,2.1380921235952703,True
C60_4,-1.073280244065032,11,inf,1.6755050656342994,False
MAPbI3,0.8090748678446161,0,7.853908819068342,7.853908819068337,True
MAPbI3,0.8090748678446161,1,2.8951776954740795,4.19523272146415,True
MAPbI3,0.8090748678446161,2,2.3909114254708874,2.4516397009151136,True
MAPbI3,0.8090748678446161,3,1.7497934139569011,1.9794882620172753,True
MAPbI3,0.8090748678446161,5,1.3898533170002318,1.46820441600536,True
MAPbI3,0.8090748678446161,8,1.1767529251556625,1.1991661856885356,True
MAPbI3,0.8090748678446161,11,1.085399248321308,1.096579846891719,True
