system,state_rule,state_index,active_index,davidson_iteration,preconditioner_call,residual_norm,raw_epsilon,corrected_epsilon,zero_shift_fallback,krylov_dim,seed,rho,lambda_min,lambda_max,dominant_is_negative,damping_factor_lambda_min,ritz_residual_rho,ritz_residual_lambda_min,numerically_real,commit,dtype,device
B12.sdf,lowest,0,0,5,3,0.17223269076639264,-1.157974886074442,-1.1609412960513052,False,40,0,1.1382133689813263,-1.1382133689813263,0.9990446614143726,True,0.06910668449066315,0.00014765197641803331,0.00014765197641803331,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
B12.sdf,lowest,0,0,5,3,0.17223269076639264,-1.157974886074442,-1.1609412960513052,False,60,0,1.1382130706133897,-1.1382130706133897,0.9994490069751901,True,0.06910653530669486,3.3222087632675836e-07,3.3222087632675836e-07,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
B12.sdf,middle,125,125,5,3,0.40479784480548664,-0.5567877536915745,-0.5731738832074912,False,40,0,1.4273465119548354,-0.8947338886842903,1.4273465119548354,False,0.052633055657854866,0.01155251042471972,0.005711371240814989,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
B12.sdf,middle,125,125,5,3,0.40479784480548664,-0.5567877536915745,-0.5731738832074912,False,60,0,1.4279229317531037,-0.8950459137821405,1.4279229317531037,False,0.052477043108929755,0.00020155604390431782,0.0007123637038798594,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
B12.sdf,homo,249,249,5,3,0.30127605448214095,-0.04538052459855809,-0.054457250698990683,False,40,0,1.8322988188158058,-0.73553651376598,1.8322988188158058,False,0.13223174311701003,0.0011198236321712416,0.009631746759563055,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
B12.sdf,homo,249,249,5,3,0.30127605448214095,-0.04538052459855809,-0.054457250698990683,False,60,0,1.832305028772085,-0.7362975738956852,1.832305028772085,False,0.1318512130521574,5.063790663148238e-05,0.0009771922497298692,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
B12.sdf,slowest,218,218,5,3,0.5899923484914703,-0.3114194181943992,-0.3462285153222473,False,40,0,1.6032082141675268,-0.8240166322859214,1.6032082141675268,False,0.08799168385703932,0.004832928116388302,0.0054667828624152875,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
B12.sdf,slowest,218,218,5,3,0.5899923484914703,-0.3114194181943992,-0.3462285153222473,False,60,0,1.6033088521848227,-0.8245793399642634,1.6033088521848227,False,0.08771033001786832,6.206803598814282e-05,0.0005123067207907346,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
water_cluster_128.xyz,lowest,0,0,5,3,0.1552533859428372,-1.1573301250958867,-1.1597404864805583,False,40,0,1.1012311239809376,-1.1012311239809376,0.9971284271284313,True,0.050615561990468794,0.0005175142467545982,0.0005175142467545982,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
water_cluster_128.xyz,lowest,0,0,5,3,0.1552533859428372,-1.1573301250958867,-1.1597404864805583,False,60,0,1.101231260623803,-1.101231260623803,0.999487725166085,True,0.05061563031190153,9.359656943889135e-05,9.359656943889135e-05,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
water_cluster_128.xyz,middle,256,256,5,3,0.5245274609810353,-0.5035635704172026,-0.5310764761495237,False,40,0,1.4390734976098143,-0.8680316234213749,1.4390734976098143,False,0.06598418828931257,0.009271394986082176,0.000522928959932777,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
water_cluster_128.xyz,middle,256,256,5,3,0.5245274609810353,-0.5035635704172026,-0.5310764761495237,False,60,0,1.4396140657631162,-0.8680326718301097,1.4396140657631162,False,0.06598366408494516,0.0006018513347763913,6.780684590941902e-05,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
water_cluster_128.xyz,homo,511,511,5,3,0.5618183802899243,-0.12496308005489952,-0.15652706929805893,False,40,0,1.7159340884921115,-0.7415361406252988,1.7159340884921115,False,0.1292319296873506,0.006841329040371769,0.0005873839923765982,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
water_cluster_128.xyz,homo,511,511,5,3,0.5618183802899243,-0.12496308005489952,-0.15652706929805893,False,60,0,1.7166367633469297,-0.7415378123089553,1.7166367633469297,False,0.12923109384552234,0.0016241607001324244,4.550070250107872e-05,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
water_cluster_128.xyz,slowest,482,482,5,3,0.6719840763462372,-0.2631155811039245,-0.3082718409902151,False,40,0,1.6031091951375882,-0.7917235503084261,1.6031091951375882,False,0.10413822484578694,0.010753377316545881,0.0005358507311632734,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
water_cluster_128.xyz,slowest,482,482,5,3,0.6719840763462372,-0.2631155811039245,-0.3082718409902151,False,60,0,1.6036448383938924,-0.7917252703929392,1.6036448383938924,False,0.10413736480353042,0.0008990308066279189,5.3164384683703716e-05,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
